Temps;Température
0;345,5191957
2;345,6661681
4;345,8131405
6;345,8131405
8;345,8131405
10;345,6661681
12;345,5191957
14;345,3722233
16;345,225251
18;344,9313062
20;344,6373615
22;344,3434167
24;344,049472
26;343,7555272
28;343,4615825
30;343,1676377
32;342,873693
34;342,4327759
36;342,1388311
38;341,8448864
40;341,5509416
42;341,1100245
44;340,8160798
46;340,522135
48;340,2281903
50;339,9342455
52;339,6403008
54;339,346356
56;339,0524113
58;338,6114942
60;338,3175494
62;338,1705771
64;337,8766323
66;337,5826876
68;337,2887428
70;336,9947981
72;336,8478257
74;336,553881
76;336,2599362
78;336,1129638
80;335,8190191
82;335,5250743
84;335,378102
86;335,0841572
88;334,9371848
90;334,6432401
92;334,4962677
94;334,202323
96;334,0553506
98;333,9083782
100;333,6144335
102;333,4674611
104;333,3204887
106;333,026544
108;332,8795716
110;332,7325993
112;332,5856269
114;332,4386545
116;332,2916821
118;331,9977374
120;331,850765
122;331,7037926
124;331,5568203
126;331,4098479
128;331,2628755
130;331,1159031
132;330,9689308
134;330,8219584
136;330,674986
138;330,5280137
140;330,5280137
142;330,2340689
144;330,2340689
146;330,0870965
148;329,9401242
150;329,7931518
152;329,6461794
154;329,499207
156;329,499207
158;329,3522347
160;329,2052623
162;329,0582899
164;329,0582899
166;328,9113176
168;328,7643452
170;328,7643452
172;328,6173728
174;328,4704004
176;328,4704004
178;328,3234281
180;328,3234281
182;328,1764557
184;328,0294833
186;328,0294833
188;327,8825109
190;327,8825109
192;327,7355386
194;327,7355386
196;327,5885662
198;327,5885662
200;327,4415938
202;327,4415938
204;327,4415938
206;327,2946214
208;327,2946214
210;327,1476491
212;327,1476491
214;327,1476491
216;327,0006767
218;327,0006767
220;327,0006767
222;326,8537043
224;326,8537043
226;326,8537043
228;326,8537043
230;326,8537043
232;326,706732
234;326,706732
236;326,706732
238;326,706732
240;326,5597596
242;326,5597596
244;326,5597596
246;326,5597596
248;326,5597596
250;326,4127872
252;326,4127872
254;326,4127872
256;326,4127872
258;326,2658148
260;326,2658148
262;326,2658148
264;326,2658148
266;326,2658148
268;326,1188425
270;326,1188425
272;326,1188425
