Temps;Température
0;358,5191957
2;358,6661681
4;358,8131405
6;358,8131405
8;358,8131405
10;358,6661681
12;358,5191957
14;358,3722233
16;358,225251
18;357,9313062
20;357,6373615
22;357,3434167
24;357,049472
26;356,7555272
28;356,4615825
30;356,1676377
32;355,873693
34;355,4327759
36;355,1388311
38;354,8448864
40;354,5509416
42;354,1100245
44;353,8160798
46;353,522135
48;353,2281903
50;352,9342455
52;352,6403008
54;352,346356
56;352,0524113
58;351,6114942
60;351,3175494
62;351,1705771
64;350,8766323
66;350,5826876
68;350,2887428
70;349,9947981
72;349,8478257
74;349,553881
76;349,2599362
78;349,1129638
80;348,8190191
82;348,5250743
84;348,378102
86;348,0841572
88;347,9371848
90;347,6432401
92;347,4962677
94;347,202323
96;347,0553506
98;346,9083782
100;346,6144335
102;346,4674611
104;346,3204887
106;346,026544
108;345,8795716
110;345,7325993
112;345,5856269
114;345,4386545
116;345,2916821
118;344,9977374
120;344,850765
122;344,7037926
124;344,5568203
126;344,4098479
128;344,2628755
130;344,1159031
132;343,9689308
134;343,8219584
136;343,674986
138;343,5280137
140;343,5280137
142;343,2340689
144;343,2340689
146;343,0870965
148;342,9401242
150;342,7931518
152;342,6461794
154;342,499207
156;342,499207
158;342,3522347
160;342,2052623
162;342,0582899
164;342,0582899
166;341,9113176
168;341,7643452
170;341,7643452
172;341,6173728
174;341,4704004
176;341,4704004
178;341,3234281
180;341,3234281
182;341,1764557
184;341,0294833
186;341,0294833
188;340,8825109
190;340,8825109
192;340,7355386
194;340,7355386
196;340,5885662
198;340,5885662
200;340,4415938
202;340,4415938
204;340,4415938
206;340,2946214
208;340,2946214
210;340,1476491
212;340,1476491
214;340,1476491
216;340,0006767
218;340,0006767
220;340,0006767
222;339,8537043
224;339,8537043
226;339,8537043
228;339,8537043
230;339,8537043
232;339,706732
234;339,706732
236;339,706732
238;339,706732
240;339,5597596
242;339,5597596
244;339,5597596
246;339,5597596
248;339,5597596
250;339,4127872
252;339,4127872
254;339,4127872
256;339,4127872
258;339,2658148
260;339,2658148
262;339,2658148
264;339,2658148
266;339,2658148
268;339,1188425
270;339,1188425
272;339,1188425
274;339,1188425
276;339,1188425
278;339,1188425
280;338,9718701
282;338,9718701
284;338,9718701
286;338,9718701
288;338,9718701
290;338,8248977
292;338,8248977
294;338,8248977
296;338,8248977
298;338,8248977
300;338,6779253
302;338,6779253
304;338,6779253
306;338,6779253
308;338,6779253
310;338,6779253
312;338,530953
314;338,530953
316;338,530953
318;338,530953
320;338,530953
322;338,3839806
324;338,3839806
326;338,3839806
328;338,3839806
330;338,3839806
332;338,3839806
334;338,2370082
336;338,2370082
338;338,2370082
340;338,2370082
342;338,2370082
344;338,2370082
346;338,0900358
348;338,0900358
350;338,0900358
352;338,0900358
354;338,0900358
356;338,0900358
358;337,9430635
360;337,9430635
362;337,9430635
364;337,9430635
366;337,9430635
368;337,9430635
370;337,7960911
372;337,7960911
374;337,7960911
376;337,7960911
378;337,7960911
380;337,7960911
382;337,6491187
384;337,6491187
386;337,6491187
388;337,6491187
390;337,6491187
392;337,6491187
394;337,5021464
396;337,5021464
398;337,5021464
400;337,5021464
402;337,5021464
404;337,5021464
406;337,5021464
408;337,355174
410;337,355174
412;337,355174
414;337,355174
416;337,355174
418;337,355174
420;337,355174
422;337,355174
424;337,2082016
426;337,2082016
428;337,2082016
430;337,2082016
432;337,2082016
434;337,2082016
436;337,0612292
438;337,0612292
440;337,0612292
442;337,0612292
444;337,0612292
446;337,0612292
448;337,0612292
450;336,9142569
452;336,9142569
454;336,9142569
456;336,9142569
458;336,9142569
460;336,9142569
462;336,9142569
464;336,7672845
466;336,7672845
468;336,7672845
470;336,7672845
472;336,7672845
474;336,6203121
476;336,6203121
478;336,6203121
480;336,6203121
482;336,6203121
484;336,6203121
486;336,6203121
488;336,4733397
490;336,4733397
492;336,4733397
494;336,4733397
496;336,4733397
498;336,4733397
500;336,4733397
502;336,4733397
504;336,3263674
506;336,3263674
508;336,3263674
510;336,3263674
512;336,3263674
514;336,3263674
516;336,179395
518;336,179395
520;336,179395
522;336,179395
524;336,179395
526;336,179395
528;336,0324226
530;336,0324226
532;336,0324226
534;336,0324226
536;336,0324226
538;336,0324226
540;335,8854503
542;335,8854503
544;335,8854503
546;335,8854503
548;335,8854503
550;335,8854503
552;335,7384779
554;335,7384779
556;335,7384779
558;335,7384779
560;335,7384779
562;335,5915055
564;335,5915055
566;335,5915055
568;335,5915055
570;335,5915055
572;335,5915055
574;335,5915055
576;335,5915055
578;335,4445331
580;335,4445331
582;335,4445331
584;335,4445331
586;335,4445331
588;335,2975608
590;335,2975608
592;335,2975608
594;335,2975608
596;335,2975608
598;335,2975608
600;335,1505884
602;335,1505884
604;335,1505884
606;335,1505884
608;335,1505884
610;335,1505884
612;335,1505884
614;335,003616
616;335,003616
618;335,003616
620;335,003616
622;335,003616
624;335,003616
626;334,8566436
628;334,8566436
630;334,8566436
632;334,8566436
634;334,8566436
636;334,8566436
638;334,8566436
640;334,7096713
642;334,7096713
644;334,7096713
646;334,7096713
648;334,7096713
650;334,5626989
652;334,7096713
654;334,5626989
656;334,5626989
658;334,5626989
660;334,5626989
662;334,5626989
664;334,5626989
666;334,5626989
668;334,4157265
670;334,4157265
672;334,4157265
674;334,4157265
676;334,4157265
678;334,4157265
680;334,2687541
682;334,2687541
684;334,2687541
686;334,2687541
688;334,2687541
690;334,2687541
692;334,2687541
694;334,1217818
696;334,1217818
698;334,1217818
700;334,1217818
702;334,1217818
704;334,1217818
706;334,1217818
708;334,1217818
710;333,9748094
712;333,9748094
714;333,9748094
716;333,9748094
718;333,9748094
720;333,9748094
722;333,9748094
724;333,827837
726;333,827837
728;333,827837
730;333,827837
732;333,827837
734;333,827837
736;333,827837
738;333,6808647
740;333,6808647
742;333,6808647
744;333,6808647
746;333,6808647
748;333,6808647
750;333,6808647
752;333,6808647
754;333,5338923
756;333,5338923
758;333,5338923
760;333,5338923
762;333,5338923
764;333,3869199
766;333,3869199
768;333,3869199
770;333,3869199
772;333,3869199
774;333,3869199
776;333,3869199
778;333,2399475
780;333,2399475
782;333,2399475
784;333,2399475
786;333,2399475
788;333,2399475
790;333,0929752
792;333,0929752
794;333,0929752
796;333,0929752
798;333,0929752
800;333,0929752
802;332,9460028
804;332,9460028
806;332,9460028
808;332,9460028
810;332,9460028
812;332,9460028
814;332,9460028
816;332,9460028
818;332,7990304
820;332,7990304
822;332,7990304
824;332,7990304
826;332,7990304
828;332,7990304
830;332,652058
832;332,652058
834;332,652058
836;332,652058
838;332,652058
840;332,652058
842;332,652058
844;332,5050857
846;332,5050857
848;332,5050857
850;332,5050857
852;332,5050857
